URL,Title,Address
https://newyork.craigslist.org/mnh/egr/d/senior-project-architect/6626292744.html,Senior Project Architect (Associate),
https://newyork.craigslist.org/mnh/egr/d/it-support-specialist-cad/6626263104.html,IT Support Specialist / CAD Specialist,Flatiron
https://newyork.craigslist.org/stn/egr/d/architect-full-time-immediate/6624814792.html,Architect -Full Time-Immediate Hire,Staten Island
https://newyork.craigslist.org/que/egr/d/construction-admin-needed/6624614995.html,Construction Admin needed,
https://newyork.craigslist.org/mnh/egr/d/project-architect/6624298957.html,Project architect,
https://newyork.craigslist.org/mnh/egr/d/junior-lighting-designer/6623962844.html,Junior Lighting Designer - Residential,Harlem / Morningside
https://newyork.craigslist.org/que/egr/d/civil-engineer-heavy-civil/6623945305.html,Civil Engineer - Heavy Civil (Nassau County),NYC and LI
https://newyork.craigslist.org/que/egr/d/look-for-part-time-nys-pe/6623931418.html,Look for a part-time NYS PE,
https://newyork.craigslist.org/brk/egr/d/field-engineer-assistant/6623700659.html,FIELD ENGINEER/ASSISTANT SUPERINTENDENT,BROOKLYN
https://newyork.craigslist.org/fct/egr/d/assnt-project-manager/6623660981.html,assnt project manager,ffld cnty
https://newyork.craigslist.org/wch/egr/d/office-engineer/6623345287.html,Office Engineer,"Westchester County, NY"
https://newyork.craigslist.org/brk/egr/d/structural-engineer-for/6623279683.html,Structural Engineer for Facades/Curtainwall,
https://newyork.craigslist.org/brk/egr/d/drafter-wanted-full-time/6623127478.html,Drafter wanted - full time,Greenpoint/Brooklyn
https://newyork.craigslist.org/brk/egr/d/architectural-metal-cost/6623101745.html,Architectural Metal Cost Estimator,East Williamsburg
https://newyork.craigslist.org/mnh/egr/d/junior-architect-3-years/6622982399.html,Junior Architect (3+ years experience),Chelsea
https://newyork.craigslist.org/mnh/egr/d/architect-assistant/6622951515.html,Architect Assistant,Midtown
https://newyork.craigslist.org/wch/egr/d/landscape-assistant-estimator/6622440903.html,Landscape - Assistant Estimator / Designer,"Armonk, NY"
https://newyork.craigslist.org/brk/egr/d/dental-cad-cam-technician/6622376909.html,Dental Cad Cam Technician,
